device_id,reprocessor
d83add1a11c5,88a29ee02d96
d83add1a11d5,2ccf6762cf15
d83add1a1201,88a29e8cae9f
d83add1a1270,88a29ee03b6b
d83add1a1288,88a29ee035b4
d83add1a12af,88a29ee02d96
d83add1a12be,2ccf6762cf15
d83addae9197,88a29e8cae9f
d83addae944e,88a29ee03b6b
d83addae958c,88a29ee035b4
d83addae95bd,88a29ee02d96
d83addae96de,2ccf6762cf15
d83addbca1c9,88a29e8cae9f
d83addbca1dd,88a29ee03b6b
d83addbca317,88a29ee035b4
d83addbca346,88a29ee02d96
e45f01f84f08,2ccf6762cf15
e45f01f84f19,88a29e8cae9f
e45f01f84f40,88a29ee03b6b
