Date,RPi version,Round,Colony,RPi,Experiment,Treatment,Tube,Flipped_tube,Solution,Start,End,Change,Survival,Recording,Remained_escaped,Start_t,Stop_t,Model,Additional_notes,Exclude
06/05/2026,4,1,MY1,1,Amygdalin,0.1mM,L,R,0.1mM,3.1861,3.0244,0.1617,1,1,1,14:34,14:40,Old_YOLO,,
06/05/2026,4,1,MY1,1,Amygdalin,0.1mM,R,L,S,3.2372,3.0038,0.2334,1,1,1,14:34,14:40,Old_YOLO,,
06/05/2026,4,1,MY1,2,Amygdalin,2.5mM,L,R,2.5mM,3.4003,3.3178,0.0825,1,1,1,14:34,14:40,Old_YOLO,,
06/05/2026,4,1,MY1,2,Amygdalin,2.5mM,R,L,S,3.2222,2.8796,0.3426,1,1,1,14:34,14:40,Old_YOLO,,
06/05/2026,4,1,MY1,3,Amygdalin,5mM,L,R,S,3.2371,2.9705,0.2666,1,0,1,14:34,14:40,Old_YOLO,,
06/05/2026,4,1,MY1,3,Amygdalin,5mM,R,L,5mM,3.1345,3.0261,0.1084,1,0,1,14:34,14:40,Old_YOLO,,
06/05/2026,4,1,MY1,4,Amygdalin,Control,L,R,S,3.38,3.2307,0.1493,1,1,0,14:34,14:40,Old_YOLO,,
06/05/2026,4,1,MY1,4,Amygdalin,Control,R,L,S,3.3089,3.1816,0.1273,1,1,0,14:34,14:40,Old_YOLO,,
06/05/2026,4,1,MY1,5,Amygdalin,0.5mM,L,R,S,3.2589,3.0308,0.2281,1,1,1,14:34,14:40,Old_YOLO,,
06/05/2026,4,1,MY1,5,Amygdalin,0.5mM,R,L,0.5mM,3.2486,3.01,0.2386,1,1,1,14:34,14:40,Old_YOLO,,
06/05/2026,4,1,MY1,6,Amygdalin,Control,L,R,S,3.0202,2.9133,0.1069,0,1,1,14:34,14:40,Old_YOLO,,
06/05/2026,4,1,MY1,6,Amygdalin,Control,R,L,S,3.2165,3.0975,0.119,0,1,1,14:34,14:40,Old_YOLO,,
06/05/2026,4,1,MY1,7,Amygdalin,0.1mM,L,R,0.1mM,3.3748,3.2611,0.1137,1,1,1,14:34,14:40,Old_YOLO,,
06/05/2026,4,1,MY1,7,Amygdalin,0.1mM,R,L,S,3.2421,2.8973,0.3448,1,1,1,14:34,14:40,Old_YOLO,,
06/05/2026,4,1,MY1,8,Amygdalin,0.5mM,L,R,0.5mM,3.228,3.0638,0.1642,1,1,1,14:34,14:40,Old_YOLO,,
06/05/2026,4,1,MY1,8,Amygdalin,0.5mM,R,L,S,3.2959,3.0427,0.2532,1,1,1,14:34,14:40,Old_YOLO,,
06/05/2026,4,1,MY1,9,Amygdalin,5mM,L,R,5mM,3.2146,3.1276,0.087,1,1,0,14:34,14:40,Old_YOLO,,
06/05/2026,4,1,MY1,9,Amygdalin,5mM,R,L,S,3.0457,2.9284,0.1173,1,1,0,14:34,14:40,Old_YOLO,,
06/05/2026,4,1,MY1,10,Amygdalin,2.5mM,L,R,2.5mM,3.3449,3.1838,0.1611,1,1,1,14:34,14:40,Old_YOLO,,
